pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
level → level,all,45,623,319,1.1069629735349202,1.12686457339158,0.019901599856659846,-0.07389588767125956,0.11027234036832168,43.976917209123506,75.49383031230481,31.516913103181302,2.6706401974022858,64.03140456024425,10,-0.05137557459897117,0.12558798727861872,11.385480282844613,80.25463182569564,разницы нет,разницы нет,вариант,вариант
level → level,AMD,9,138,80,1.26964373068975,1.3145948254343671,0.044951094744617226,-0.10261511058801531,0.22672126301849427,78.05177799871983,143.49997653143743,65.4481985327176,9.203911708279458,186.24570955152137,9,-0.10261511058801531,0.22672126301849427,9.203911708279458,186.24570955152137,разницы нет,разницы нет,вариант,вариант
level → level,KGS,9,115,62,0.9960050171628797,1.1469542221411637,0.150949204978284,-0.017596051796007643,0.3984538154844559,17.747576766654195,87.25084737408697,69.50327060743278,18.225612569432695,147.17235243803663,9,-0.017596051796007643,0.3984538154844559,18.225612569432695,147.17235243803663,разницы нет,разницы нет,вариант,вариант
level → level,KZT,10,157,87,1.0852097438717145,0.9571683063509525,-0.12804143752076202,-0.3118404314365837,0.04230281735861902,29.703972490863674,20.561743239487217,-9.142229251376456,-56.22050517573192,24.843620920545217,10,-0.3118404314365837,0.04230281735861902,-56.22050517573192,24.843620920545217,разницы нет,разницы нет,разницы нет,разницы нет
level → level,TJS,7,92,35,1.1008464724326434,1.3194268796392121,0.21858040720656868,0.03844895634729384,0.5246065432534728,57.40823244204393,139.96504811179054,82.55681566974661,17.774637634072445,199.16954534785265,7,0.03844895634729384,0.5246065432534728,17.774637634072445,199.16954534785265,вариант,вариант,вариант,вариант
level → level,UZS,10,121,55,1.054613773202622,0.9112194229002241,-0.1433943503023979,-0.4200061962733739,0.11148966334596143,38.350592260840784,9.18787025761427,-29.162722003226513,-124.51664919735602,76.7577608685304,10,-0.4200061962733739,0.11148966334596143,-124.51664919735602,76.7577608685304,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,all,45,272,272,1.1558207648258547,1.1558207648258547,0.0,0.0,0.0,36.98792116450045,36.98792116450045,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,AMD,8,41,41,1.4404355857191993,1.4404355857191993,0.0,0.0,0.0,119.94351531661962,119.94351531661962,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KGS,10,63,63,1.2781639046769864,1.2781639046769864,0.0,0.0,0.0,59.600690695771405,59.600690695771405,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KZT,9,56,56,1.086659524027471,1.086659524027471,0.0,0.0,0.0,9.940140438710113,9.940140438710113,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
