indicator,corridor,source,transferred,split,window,params,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
momentum,TJS,KZT,True,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 3}",20,25.0,18,18,0.16666666666666666,0.15254237288135594,1.0925925925925926,,,0.5555555555555556,0.5338983050847458,1.0405643738977073,30.402026927054035,-2.594269522656172,32.99629644971021,,,,,,,67.18389855784793,30.45129894936142,0.6961325966850829,0.17647058823529413,0.46851268097182275,16.0,0.0
momentum,UZS,KZT,True,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 3}",20,25.0,17,17,0.058823529411764705,0.13559322033898305,0.4338235294117647,,,0.5294117647058824,0.5169491525423728,1.0241080038572807,16.644132407251018,-12.978020395404887,29.622152802655904,,,,,,,53.02572834171558,-0.3994059094691188,0.6574585635359116,0.3125,0.6301854355178735,28.0,0.0
momentum,KGS,KZT,True,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 3}",20,25.0,18,18,0.2222222222222222,0.1440677966101695,1.5424836601307188,,,0.5555555555555556,0.5,1.1111111111111112,28.42162750601094,-8.151508733265231,36.57313623927617,,,,,,,71.46470308171911,17.909391252850273,0.6961325966850829,0.17647058823529413,0.4583098141252938,16.0,0.0
momentum,AMD,KZT,True,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 3}",20,25.0,16,16,0.0625,0.1864406779661017,0.3352272727272727,,,0.5,0.5508474576271186,0.9076923076923077,0.9137615125649035,43.40759409925216,-42.493832586687255,,,,,,,39.125174227886006,-49.31746094270877,0.6187845303867403,0.26666666666666666,0.6449806198638839,25.0,0.0
momentum,KZT,KZT,False,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 3}",20,25.0,19,19,0.21052631578947367,0.15254237288135594,1.3801169590643274,,,0.42105263157894735,0.4152542372881356,1.0139634801288937,2.488444747268979,-18.204220636461798,20.692665383730777,,,,,,,40.87820322213372,11.169538576532545,0.7348066298342542,0.2222222222222222,0.5519075096395172,23.0,0.0
level,TJS,KZT,True,0,2021-01…2021-06,"{""window"": 250, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5}",20,25.0,19,19,0.15789473684210525,0.15254237288135594,1.0350877192982455,,,0.5789473684210527,0.5338983050847458,1.0843776106934002,26.26375853544241,-2.594269522656172,28.858028058098583,,,,,,,55.00297315663581,16.914424876473806,0.7348066298342542,0.0,0.8014103786667915,37.0,0.0
level,UZS,KZT,True,0,2021-01…2021-06,"{""window"": 250, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5}",20,25.0,12,12,0.25,0.13559322033898305,1.84375,,,0.6666666666666666,0.5169491525423728,1.289617486338798,81.02788962521653,-12.978020395404887,94.00591002062141,,,,,,,95.82028980090335,29.170688824478045,0.46408839779005523,0.0,1.2132783848224633,60.0,0.3333333333333333
level,KGS,KZT,True,0,2021-01…2021-06,"{""window"": 250, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5}",20,25.0,21,21,0.14285714285714285,0.1440677966101695,0.9915966386554621,,,0.5238095238095238,0.5,1.0476190476190477,2.9149256959196532,-8.151508733265231,11.066434429184884,,,,,,,43.46609404581589,-8.035557760483718,0.8121546961325967,0.0,0.6333442909418073,30.0,0.0
level,AMD,KZT,True,0,2021-01…2021-06,"{""window"": 250, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5}",20,25.0,16,16,0.25,0.1864406779661017,1.3409090909090908,,,0.6875,0.5508474576271186,1.248076923076923,101.04021744854295,43.40759409925216,57.63262334929079,,,,,,,93.34391886083455,51.50366924634636,0.6187845303867403,0.0,0.7595126754256519,37.0,0.16666666666666666
level,KZT,KZT,False,0,2021-01…2021-06,"{""window"": 250, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5}",20,25.0,10,10,0.1,0.15254237288135594,0.6555555555555556,,,0.4,0.4152542372881356,0.963265306122449,-12.397637965521847,-18.204220636461798,5.806582670939951,,,,,,,43.72400896425776,-8.06796718992353,0.3867403314917127,0.0,0.0,102.0,0.5
reversal,TJS,KZT,True,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3}",20,25.0,13,13,0.6923076923076923,0.4067796610169492,1.7019230769230769,,,0.6923076923076923,0.4067796610169492,1.7019230769230769,70.37810646591505,-2.594269522656172,72.97237598857123,,,,,,,30.91434646461623,55.103140257035655,0.5027624309392265,0.75,1.6482463336320097,82.0,0.3333333333333333
reversal,UZS,KZT,True,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3}",20,25.0,11,11,0.7272727272727273,0.3898305084745763,1.8656126482213438,,,0.7272727272727273,0.3898305084745763,1.8656126482213438,67.85528726401266,-12.978020395404887,80.83330765941754,,,,,,,41.35168618169084,42.749065238719986,0.42541436464088395,0.7,1.3716742650272657,63.0,0.3333333333333333
reversal,KGS,KZT,True,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3}",20,25.0,7,7,0.8571428571428571,0.4152542372881356,2.064139941690962,,,0.8571428571428571,0.4152542372881356,2.064139941690962,162.59271663756115,-8.151508733265231,170.74422537082637,,,,,,,81.49915725736186,78.5760788728545,0.27071823204419887,0.8333333333333334,1.661079068999844,82.0,0.6666666666666666
reversal,AMD,KZT,True,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3}",20,25.0,9,9,1.0,0.5254237288135594,1.9032258064516128,,,1.0,0.5254237288135594,1.9032258064516128,227.92067638468268,43.40759409925216,184.51308228543053,,,,,,,100.28051139759857,104.56169346942539,0.34806629834254144,0.625,1.7036725037400822,82.0,0.5
reversal,KZT,KZT,False,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3}",20,25.0,9,9,0.4444444444444444,0.3813559322033898,1.165432098765432,,,0.4444444444444444,0.3813559322033898,1.165432098765432,24.04626881632516,-18.204220636461798,42.25048945278696,,,,,,,32.90152085765293,7.726729345117757,0.34806629834254144,0.5,0.9146295922900952,71.0,0.3333333333333333
seasonality,TJS,KZT,True,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20}",20,25.0,2,2,0.0,0.15254237288135594,0.0,,,0.5,0.5338983050847458,0.9365079365079365,-70.28371512916186,-2.594269522656172,-67.68944560650569,,,,,,,-32.496894624499674,-140.61299317232323,0.07734806629834254,0.0,0.0,99.0,0.6666666666666666
seasonality,UZS,KZT,True,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20}",20,25.0,1,1,0.0,0.13559322033898305,0.0,,,1.0,0.5169491525423728,1.9344262295081969,3.5117682131935446,-12.978020395404887,16.48978860859843,,,,,,,-24.067342215857714,-147.31380410035965,0.03867403314917127,0.0,,161.0,0.8333333333333334
seasonality,KGS,KZT,True,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20}",20,25.0,3,3,0.0,0.1440677966101695,0.0,,,0.3333333333333333,0.5,0.6666666666666666,-87.25917662570139,-8.151508733265231,-79.10766789243615,,,,,,,-24.1213651031269,-64.38374785052454,0.11602209944751381,0.0,0.024390243902439025,99.0,0.5
